ID,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,SMUT1,SMUT2,SMUT3,SMUT4,SMUT5,SMUT6,SMUT7,SMUT8,SMUT9,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,VONP 1,VONP2,VONP3,VONP4,VONP5,VONP6,VONP7,VONP8,VOFP1,VOFP2,VOFP3,VOFP4,VOFP5,VOFP6,VOFP7,PLT1,PLT2,PLT3,PLT4,PLT5,PLT6,PLT7,Gender,Age,MS,RL,PI,Education Level,ED,COO
57,3,2,4,4,4,3,4,4,3,2,2,2,2,2,4,3,4,3,2,2,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,4,4,2,1,5,3,2,5,1,6,1
58,1,1,1,2,2,2,1,1,1,5,2,1,2,2,2,1,4,2,1,2,2,4,2,2,4,5,2,4,4,1,4,5,1,4,1,1,1,1,4,5,5,5,2,3,5,5,1,2,3,6,3,5,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,5,1,1,4,4,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,3,5,5,3
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,5,3
61,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,4,5,3
62,4,4,4,3,3,2,3,2,2,4,2,3,4,2,4,4,4,4,2,2,4,2,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,5,3,2,3,4,2,1,2,1,1,2,5,3,3
63,5,2,2,2,3,3,3,2,2,2,1,4,1,1,1,1,1,1,2,1,2,2,3,5,3,4,3,1,5,5,4,4,5,5,5,5,5,1,5,4,2,2,2,2,4,2,1,4,4,6,2,4,1,1
64,5,3,4,4,4,4,5,5,4,4,2,2,2,2,4,4,4,3,3,4,3,2,3,3,4,3,4,4,4,5,5,5,5,5,5,5,5,4,3,4,3,2,2,3,4,2,1,4,3,2,2,4,3,1
65,4,2,3,2,3,3,4,1,1,1,1,4,3,1,4,2,2,3,1,3,1,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,4,1,1,4,4,3,1,1,1,1,2,4,5,3
66,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,2,2,1,1,1,2,4,5,3
67,4,3,3,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,2,5,5,3
68,5,3,4,5,2,2,5,3,3,2,1,1,3,2,3,2,4,4,3,1,2,2,2,2,3,5,3,5,4,5,5,5,3,4,4,3,5,2,4,4,4,2,3,2,5,3,1,2,3,4,2,7,1,1
69,5,5,5,5,5,5,5,5,5,5,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,2,5,4,1,1
70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,1,2,3,6,7,6,1,1
71,4,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,2,4,4,4,4,4,4,3,4,3,3,4,2,4,5,5,2,3,3,1,5,6,1,3
72,4,4,3,3,2,4,5,4,4,5,4,2,5,4,5,5,5,3,3,4,2,4,2,3,5,3,3,4,4,5,4,5,4,5,2,4,3,2,4,4,1,1,1,3,4,1,1,4,3,2,3,5,1,1
73,5,5,4,4,5,4,5,5,5,4,4,1,4,4,4,4,5,2,2,2,2,2,2,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,2,4,2,2,4,3,2,5,4,1,1
74,1,4,2,4,2,5,2,5,5,1,1,4,4,1,2,2,4,1,2,2,2,2,2,4,5,5,5,5,3,2,3,5,1,5,5,5,5,2,5,2,1,1,1,1,2,1,2,1,1,2,5,2,5,1
75,5,4,4,4,5,4,5,2,2,2,2,4,2,5,2,2,5,2,2,2,1,2,3,1,4,5,5,4,5,5,4,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,2,1,1,2,3,4,1,1
76,4,3,5,4,5,3,3,2,2,2,1,1,1,2,5,4,3,2,2,1,3,1,4,1,3,4,4,4,4,5,4,3,4,5,3,2,2,3,5,1,2,1,3,4,3,2,1,1,1,1,2,4,5,3
77,5,4,2,4,2,2,3,4,4,5,1,1,1,3,1,1,4,1,3,2,2,2,2,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,4,1,4,3,6,5,2,3,1
78,5,2,2,2,3,2,4,1,1,3,1,4,1,4,1,1,2,1,4,2,2,1,2,1,4,5,5,5,5,5,2,5,2,5,5,5,5,1,5,5,2,1,4,3,5,3,1,3,1,6,1,4,1,1
79,5,3,2,3,4,3,4,4,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,4,5,4,2,4,4,5,4,5,5,2,2,5,2,5,3,3,3,3,3,3,4,1,4,3,7,1,4,10,1
80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,2,1,1,1,1,5,5,3
81,5,5,3,4,3,4,3,5,5,3,2,1,1,3,4,5,4,5,2,2,2,2,2,2,3,4,4,5,5,5,5,5,3,3,4,4,5,3,5,4,4,4,4,4,4,4,2,1,3,1,7,6,5,3
82,4,4,2,4,3,3,3,1,2,2,1,1,1,1,1,1,1,1,2,1,3,2,2,1,2,3,3,3,2,3,1,3,2,2,2,3,3,3,2,5,5,2,3,5,5,5,1,1,1,1,1,4,5,3
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,4,1,1,2,4,1,4,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,5,5,3
